title,type,genre,director,rating_imdb,content_rag
Miss Jerry,movie,Romance,Alexander Black,5.9,JUDUL: Miss Jerry | TIPE: movie | GENRE: Romance | SUTRADARA: Alexander Black | RATING IMDB: 5.9 | PLOT: The adventures of a female reporter in the 1890s.
Sherlock Holmes,movie,Mystery,Arthur Berthelet,6.4,"JUDUL: Sherlock Holmes | TIPE: movie | GENRE: Mystery | SUTRADARA: Arthur Berthelet | RATING IMDB: 6.4 | PLOT: When a couple of swindlers hold young Alice Faulkner against her will in order to discover the whereabouts of letters which could spell scandal for the royal family, Sherlock Holmes is on the case."
Shoes,movie,Drama,Lois Weber,6.8,"JUDUL: Shoes | TIPE: movie | GENRE: Drama | SUTRADARA: Lois Weber | RATING IMDB: 6.8 | PLOT: A young working girl must support her family on only five dollars (~ $120 in 2020) a week. The strain of trying to feed, house and clothe her mother, her father and three sisters finally ..."
Snow White,movie,"Fantasy, Romance",J. Searle Dawley,6.2,"JUDUL: Snow White | TIPE: movie | GENRE: Fantasy, Romance | SUTRADARA: J. Searle Dawley | RATING IMDB: 6.2 | PLOT: Snow White is a motherless princess, who arouses the jealousy and hatred of Mary Jane, her mother's former lady-in-waiting, who is the ugliest woman in the kingdom, but aspires to the ..."
The Social Secretary,movie,"Comedy, Drama",John Emerson,5.3,"JUDUL: The Social Secretary | TIPE: movie | GENRE: Comedy, Drama | SUTRADARA: John Emerson | RATING IMDB: 5.3 | PLOT: To avoid unwanted attention at her next job, a young professional disguises herself, leading to some unintended consequences."
Vingarne,movie,Drama,Mauritz Stiller,5.8,"JUDUL: Vingarne | TIPE: movie | GENRE: Drama | SUTRADARA: Mauritz Stiller | RATING IMDB: 5.8 | PLOT: An adaptation of Herman Bang's 1902 novel ""MikaÃ«l."" A sculptor befriends a young painter who becomes his model. Their friendship is thrown into turmoil when they both fall in love with the same woman."
Where Are My Children?,movie,Drama,"Phillips Smalley, Lois Weber",6.3,"JUDUL: Where Are My Children? | TIPE: movie | GENRE: Drama | SUTRADARA: Phillips Smalley, Lois Weber | RATING IMDB: 6.3 | PLOT: A District Attorney's outspoken stand on abortion gets him in trouble with the local community."
'49-'17,movie,"Drama, Western",Ruth Ann Baldwin,5.9,"JUDUL: '49-'17 | TIPE: movie | GENRE: Drama, Western | SUTRADARA: Ruth Ann Baldwin | RATING IMDB: 5.9 | PLOT: A retired judge comes West to restore a ghost town."
Bucking Broadway,movie,Western,John Ford,6.0,JUDUL: Bucking Broadway | TIPE: movie | GENRE: Western | SUTRADARA: John Ford | RATING IMDB: 6.0 | PLOT: A ranch foreman battles a rich stockbroker for the affections of a beautiful young woman.
Cleopatra,movie,"Biography, Drama, History",J. Gordon Edwards,6.5,"JUDUL: Cleopatra | TIPE: movie | GENRE: Biography, Drama, History | SUTRADARA: J. Gordon Edwards | RATING IMDB: 6.5 | PLOT: The story of Cleopatra, the fabulous queen of Egypt, and the epic romances between her and the greatest men of Rome, Julius Caesar and Antony."
Furcht,movie,Horror,Robert Wiene,6.1,"JUDUL: Furcht | TIPE: movie | GENRE: Horror | SUTRADARA: Robert Wiene | RATING IMDB: 6.1 | PLOT: After years travelling the world, Count Greven returns home with the art treasures he has collected. But his disposition has altered dramatically and he is a troubled man. Will he suffer ..."
A Girl's Folly,movie,Comedy,Maurice Tourneur,6.1,"JUDUL: A Girl's Folly | TIPE: movie | GENRE: Comedy | SUTRADARA: Maurice Tourneur | RATING IMDB: 6.1 | PLOT: A restless young girl yearns to leave her rural environment and ""get away from it all"". One day she stumbles upon a film crew shooting a western near her home. She makes friends with the ..."
L'astronave,movie,"Adventure, Fantasy, Sci-Fi",Holger-Madsen,6.5,"JUDUL: L'astronave | TIPE: movie | GENRE: Adventure, Fantasy, Sci-Fi | SUTRADARA: Holger-Madsen | RATING IMDB: 6.5 | PLOT: A group of researchers from Earth travel in a spaceship to Mars, where, to big surprise, they find a peaceful vegetarian and pacifist civilization."
Joan the Woman,movie,"Adventure, Drama, History",Cecil B. DeMille,6.5,"JUDUL: Joan the Woman | TIPE: movie | GENRE: Adventure, Drama, History | SUTRADARA: Cecil B. DeMille | RATING IMDB: 6.5 | PLOT: A WWI English officer is inspired the night before a dangerous mission by a vision of Joan of Arc, whose story he relives."
The Little American,movie,"Drama, Romance, War","Cecil B. DeMille, Joseph Levering",5.9,"JUDUL: The Little American | TIPE: movie | GENRE: Drama, Romance, War | SUTRADARA: Cecil B. DeMille, Joseph Levering | RATING IMDB: 5.9 | PLOT: A young American has her ship torpedoed by a German U-boat but makes it back to ancestral home in France, where she witnesses German brutality firsthand."
The Little Princess,movie,Drama,Marshall Neilan,5.7,"JUDUL: The Little Princess | TIPE: movie | GENRE: Drama | SUTRADARA: Marshall Neilan | RATING IMDB: 5.7 | PLOT: Little Sara Crewe is placed in a boarding school by her father when he goes off to war, but he does not understand that the headmistress is a cruel, spiteful woman who makes life miserable ..."
Desiderata,movie,Drama,Abel Gance,6.4,JUDUL: Desiderata | TIPE: movie | GENRE: Drama | SUTRADARA: Abel Gance | RATING IMDB: 6.4 | PLOT: Sad story of an unfaithful wife and her subsequent sufferings as a mother.
A Modern Musketeer,movie,"Adventure, Comedy, Western",Allan Dwan,6.7,"JUDUL: A Modern Musketeer | TIPE: movie | GENRE: Adventure, Comedy, Western | SUTRADARA: Allan Dwan | RATING IMDB: 6.7 | PLOT: A restless young man travels west, encountering adventure, romance, and danger."
